i	arc	where	status	verdict	note	quote
1226	B1177_instrument_bundle	B1177_instrument_bundle/ADDENDUM_measurements.md:10-12	LEAD	SUPERSEDED	as #1225 (B1207 records the completed run)	the OA_SLOW first-ever run: launched this sitting ... the run continues past this bank; last-green lands in the log + the next touch records it here. (Honest state: launched, not yet complete — no phantom green.)
1228	B1184_quine_synthesis	B1184_quine_synthesis/arc_verdict.json:4	LEAD	CONSISTENT		the register carried 'QP-1 (the quine) open' -- STALE
1229	B1186_family_is_112	B1186_family_is_112/FINDINGS.md:62-63	LEAD	CONSISTENT		the dual-homed artifact B8152 lacked (their single-homed-content debt class, discharged on main)
1230	B1187_depth_closure	B1187_depth_closure/FINDINGS.md:10-11	LEAD	CONSISTENT	B1187 is the correction	L187 was registered (B1172) as '7 EXPOSED kills, named stabilization paths, none executed' — STALE at registration: B767 (R28-10, 2026-07-23) had already run 6 of the 7 and fully STABILIZED two.
1231	B1187_depth_closure	B1187_depth_closure/ADDENDUM_b8153_nine_words.md:10-11	LEAD	CONSISTENT		"confirmed (both seats): no AIRLOCK anywhere in the banked logs — the only ""283"" is the target header."
1232	B1187_depth_closure	B1187_depth_closure/ADDENDUM_b8153_nine_words.md:14-15	LEAD	CONSISTENT		cc3's B8153 ... the mod-p factor-pattern test ... is VACUOUS
1233	B1188_grand_retrieval	FINDINGS.md:19-23	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The registry drift class (finished-but-forgotten) returned 132 PROVED on-theme arcs absent from all live surfaces, with the sharpest five (B279, B769, B786, B293, B552) invisible to the drift-detector itself (its ≥500-char floor cannot see one-sentence claims — the E52 treatment applies to it).
1234	B1190_close_loop_batch2	FINDINGS.md:28-29	LEAD	CONSISTENT		**The completeness cross-check that had never been run, now run**: B1182's five adelic legs (c, r, θ = cr, scale, VEV) close **exactly, zero orphans**, against five assembly rows...
1236	B1190_close_loop_batch2	verification/batch2_cells.json GC-7 headline	LEAD	SUPERSEDED	"B1191 GC-7 ""now closed in this arc"" (#1242)"	gamma5 itself (real, B769-proved independent) has never been adelic-place-typed because it lives on the object's other end (Q(sqrt5))
1237	B1190_close_loop_batch2	verification/batch2_cells.json GC-9 refutation text	LEAD	CONSISTENT		Grepping the entire frontier/ tree for any recorded True outcome of this check turns up nothing except the print-statement's own source text — there is no on-record run, anywhere in the campaign, where this specific negation-symmetry pipeline was fed a case expected to be self-dual/real ... and shown to correctly flag it
1238	B1191_close_loop_batch3	verification/batch3_cells.json GC-11 refutations block	LEAD	CONSISTENT	self-reported document audit	"I2 = ""u-as-apparatus, MISSING BY DESIGN"" is never mentioned. I3 = ""the designed crossing, HELD FOR OWNER ELECTION"" is never mentioned (the word ""crossing"" does not occur in the document at all)."
1239	B1191_close_loop_batch3	verification/batch3_cells.json GC-11 refutations block	LEAD	CONSISTENT		Row F3 (spin-vs-orientation ℤ/2, PROVED, B279) does not appear anywhere in GC-11
1240	B1191_close_loop_batch3	verification/batch3_cells.json GC-11 refutations block	LEAD	CONSISTENT		H3 (primitive observer, null hypothesis) are not explicitly carried as their own ledger items ... H3 is entirely absent.
1241	B1191_close_loop_batch3	verification/batch3_cells.json GC-11 refutations block	LEAD	CONSISTENT		There is no per-row checklist artifact in the cells directory (no GC-11-specific script, no explicit A1…I4 table)
1242	B1191_close_loop_batch3	verification/batch3_cells.json GC-13 headline (carried from B1190/GC-7, now closed in this arc)	LEAD	CONSISTENT	the closing arc	gamma5 ... has never been adelic-place-typed
1243	B1191_close_loop_batch3	verification/batch3_cells.json GC-15 evidence	LEAD	CONTRADICTED	"tests/test_b279_spin_structure_bit.py exists on main, so ""F3 ... has ZERO test coverage anywhere in the repo"" is false as stated; whether that file locks the spin-vs-orientation bit is a separate question"	Only F3 ... has ZERO test coverage anywhere in the repo, matching B998's literal citation-error finding
1244	B1192_close_loop_batch4	frontier/B1192_close_loop_batch4/verification/batch4_cells.json, GC-17 evidence field	LEAD	GENERIC	terms too common (substitution grammar script corpus)	no script in the corpus derives this pair from the {a,b}-substitution grammar
1246	B1192_close_loop_batch4	frontier/B1192_close_loop_batch4/verification/batch4_cells.json, GC-18 evidence field (plank 1c) -- refuted by the cell's own refutations field	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	"Repo-wide grep for ""Narain""/""lattice CFT""/""lattice compactif""/""E6 lattice"" = 0 hits anywhere"
1247	B1192_close_loop_batch4	frontier/B1192_close_loop_batch4/verification/batch4_cells.json, GC-18 evidence field	LEAD	CONSISTENT		P2 (FUNCTION OF EXISTING LEGS) has ZERO corpus support
1248	B1194_existence_audit	frontier/B1194_existence_audit/FINDINGS.md section 1 / arc_verdict.json claim_one_line	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	THE COSMOLOGY LEDGER -- dark matter, inflation, the initial condition are the one genuinely blind region (zero dedicated modern arcs, grep-confirmed; the named first move 'one cosmology specification ledger' never made)
1249	B1195_close_loop_batch5a	frontier/B1195_close_loop_batch5a/verification/batch5a_cells.json GC-22 evidence	LEAD	CONSISTENT		P2 (FUNCTION OF EXISTING LEGS) has ZERO corpus support: exhaustive grep -ril 'BTZ'/'Hawking' across frontier/ turns up hits only for UNRELATED quantities
1251	B1196_close_loop_batch5b	frontier/B1196_close_loop_batch5b/verification/batch5b_cells.json GC-28 evidence -- itself later shown by GC-28's own text to be a correction of an earlier (B1194/EX-6) version of this same absence claim that had missed real arcs	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	THE COSMOLOGY LEDGER STANDS ... zero dedicated modern arcs, grep-confirmed
1253	B1198_lee_motives_retrieval	frontier/B1198_lee_motives_retrieval/FINDINGS.md, quoting the paper's own caveat	LEAD	CONSISTENT		the motivic path torsor is a hypothetical object
1254	B1198_lee_motives_retrieval	frontier/B1198_lee_motives_retrieval/ADDENDUM_corrected_B1201.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the paper contains no Dedekind-zeta normalization, so the bridge from its regulator statement to our banked Vol = 9√3·ζ_K(2)/π² is absent from the literature
1256	B1199_register_reads_and_L188	frontier/B1199_register_reads_and_L188/FINDINGS.md, Fences section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	B566's separate one-data-point hook (recursion depth vs the exponent of 11^2 in e4) remains untouched and open
1257	B1201_lee_verified_and_harvest	frontier/B1201_lee_verified_and_harvest/FINDINGS.md, section (c)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the paper never names Q(sqrt-3) and contains no Dedekind-zeta normalization at all, so it does not connect to our banked Vol ... The normalization bridge is absent from the literature, not merely unread
1258	B1201_lee_verified_and_harvest	frontier/B1201_lee_verified_and_harvest/FINDINGS.md, section (b)	LEAD	CONSISTENT		zero occurrences of 'amphichir', 'chiral', or 'orientation-revers' anywhere in the paper
1259	B1202_already_banked_check	frontier/B1202_already_banked_check/FINDINGS.md, Controls section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	two regions the existence audit established as genuinely blind: inflation/reheating/e-folds and dark matter/relic abundance/freeze-out ... Both clean (0 settled arcs above threshold), so a MISSING claim there remains admissible
1260	B1207_slow_lane_discharge	FINDINGS.md §0	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the OA_SLOW shadow suite ... fifty gated test files that no runner had ever executed ... first-ever complete run finished after 4 h 45 min
1261	B1207_slow_lane_discharge	FINDINGS.md Class C	LEAD	CONSISTENT		the verifier has never once executed since [banked 2026-08-21]
1263	B1208_cross_seat_harvest	FINDINGS.md LEG 8	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	Not adopted here. It refutes a preservation property of something main banked (B1140), and the house rule is that a cross-seat result touching a banked claim is verified before it moves anything.
1264	B1208_cross_seat_harvest	FINDINGS.md LEG 2 cross-source caveat	LEAD	CONSISTENT	P4 drafts carry the three-factorization caveat	the census alone does NOT force that shape -- this bench finds three factorizations consistent with its four counts
1267	B1210_paper_spine_sweep	FINDINGS.md §4 Fences	LEAD	GENERIC		five flags means five pairs to read, not five corrections established
1268	B1211_declaration_gap	FINDINGS.md §0	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	THEOREM_REGISTRY.md's last row was B1145 -- the entire observer-layer closure, the densest theorem cluster the programme has produced, was registered nowhere.
1269	B1211_declaration_gap	FINDINGS.md §6 Fences	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	Coverage of the remaining unswept arcs as paper claim candidates is not claimed.
1270	B1212_two_replies	memos/YUKAWA_CUP_PRODUCTS_308.md Verdict	LEAD	CONSISTENT	no later down-Yukawa row on main or the codex head (grep down-yukawa/mu_d in B12xx+, certificates)	The down-type map mu_d still has no chain-level evaluation, rank, or nonzero entry.
1271	B1212_two_replies	documents/.../YUKAWA_DOWN_RESIDUE_SPEC_308.md Verdict	LEAD	CONSISTENT	as #1270	No numerical or exact 1 x 18 down-Yukawa row is present in the committed certificates.
1272	B1212_two_replies	documents/.../YUKAWA_DOWN_RESIDUE_SPEC_308.md Proof boundary	LEAD	CONSISTENT	as #1270	Not proved: any nonzero down-Yukawa entry, rank, texture, determinant, normalized residue, or tail-coupled value.
1273	B1212_two_replies	verification/r024_lepton_character_datum.py scope line, echoed in r024_rerun.txt	LEAD	CONSISTENT	scope line of certificates/r024 itself	no Cech representative, cyclic/Serre map, nonzero entry, determinant, or physical Yukawa
1274	B1213_claim_base_rebuilt	FINDINGS.md §0 / arc_verdict.json	LEAD	CONSISTENT		creates_law is ABSENT ENTIRELY on 919 of 1031 settled arcs -- 89%
1275	B1213_claim_base_rebuilt	FINDINGS.md §1	LEAD	CONSISTENT		the pool was wider than the page.
1276	B1213_claim_base_rebuilt	FINDINGS.md §2	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The disposition column stays empty; IN / SUP / OUT remains an editorial call.
1277	B1214_creates_law_reaudit	FINDINGS.md sec 4	LEAD	CONSISTENT	no tests/test_b1070*/test_b1073* on any head	B1070 and B1073 have no lock at all.
1279	B1215_codex_transcript_harvest	FINDINGS.md LEG 2 (re B1175's wrapper)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The certificates it describes live on codex's branch and are not vendored, so the script cannot re-execute them, and it must not claim to.
1280	B1215_codex_transcript_harvest	verification/_out.txt / tail_selection.py	LEAD	CONSISTENT		that the lepton leg IS A_11 is a reading of codex's frames, which are not on this bench and which their own certificate leaves UNDETERMINED at the generation level
1281	B1216_parameter_closure_run1	FINDINGS.md sec 4/6	LEAD	CONSISTENT		GC-27 records that lambda fails even the theorem's first hypothesis: no (T, G) pair has been read off D for it.
1282	B1216_parameter_closure_run1	workflow_result.json C1 cell 'overreach' note	LEAD	CONSISTENT		the eigenline computation ... was never independently rederived for disc 13/15/21
1283	B1217_seat_integration	FINDINGS.md 'THE EVIDENCE-CONTRACT GAP'	LEAD	CONSISTENT	tests/test_b1217 is the only hit	Cloud's extended run -- the V-NEG headline itself -- is not reproducible as committed.
1284	B1217_seat_integration	FINDINGS.md 'THE EVIDENCE-CONTRACT GAP'	LEAD	CONSISTENT		No committed certificate carries the involves_regulator gate except an unrelated staleness re-check, and their own memo names no path for it.
1285	B1218_open_claim_sweep	FINDINGS.md 'Why this exists' (re already_banked.py's limit)	LEAD	CONSISTENT		it must be aimed: it only ever checks the claim a seat happened to think of.
1286	B1218_open_claim_sweep	docs/progress/REVIEWS.md Review 53 (log excerpt)	LEAD	CONSISTENT		Cannot certify: that the 45 remaining B1218 candidates contain no further lost lock -- they were read and adjudicated as same-topic co-occurrence, which is a judgement, not a proof
1287	B1219_reverse_sweep	FINDINGS.md 'Why the other direction was needed'	LEAD	CONSISTENT		open_claim_sweep.py ... structurally cannot find a banked result that no surface mentions at all -- there is no claim to match against.
1289	B1220_campaign_premise_audit	FINDINGS.md Cell 1 (quoting GC-27)	LEAD	GENERIC		no (T,G) pair has been read off D for it
1290	B1220_campaign_premise_audit	ADDENDUM_2026-08-30_lambda_is_external_by_theorem.md 'What genuinely remains'	LEAD	CONSISTENT	THE_FORCED_AND_THE_FREE / THE_REMAINING_MATH / QUESTION_MAP_WAVE6 all list the Kolmogorov selector as missing	H5. the Kolmogorov Selector -- MISSING (no arc)
1291	B1221_global_form_path_independence	FINDINGS.md 'The question, as the dossier posed it'	LEAD	GENERIC		Never asked. already_banked on its terms: no settled arc.
1294	B1225_no_canonical_selector	ADDENDUM_2026-08-31_the_atom_list_is_not_in_main.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the 17 atoms are not enumerated anywhere on this bench ... Searched: main, outside-bench, codex/seat-r001, paper/structure-genesis-first. The list does not exist on any of them.
1295	B1225_no_canonical_selector	ADDENDUM_2026-09-01_the_atom_list_is_on_main.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The list is present on main in B1203's cert; the search that missed it looked at branches instead of the arc's own verification directory.
1296	B1226_the_beta_odd_box	FINDINGS.md 'What is NOT claimed'	LEAD	CONSISTENT		No CP phase is derived. No measured value is asserted. Gate 5 intact.
1297	B1226_the_beta_odd_box	FINDINGS.md Cell 2, box A supplier column	LEAD	CONSISTENT		the object cannot select within the menu ... G acts trivially (cited from B1225)
1298	B1227_one_theorem_two_regimes	FINDINGS.md 'Still owed'	LEAD	CONSISTENT	"B1225 addendum ""the atom list is not in main"" restates"	the atom LIST is cloud's; only the count 11720 and 'all 17 real' were reproduced here.
1300	B1229_the_consistency_turn	FINDINGS.md 'The diagnosis'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The gap, measured: modular bootstrap -> 0 tracked files. conformal bootstrap -> 1. constructor theory -> 0. assembly theory -> 0. An entire methodology built for this situation, never touched.
